,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,NDVI,NDRE,TGI,VARI
40,2019_NYH2_plot_41,PHW65_MoG_0569/PHT69,41,1,,1,41,1,0.7277117394457281,0.4507968762921919,0.024622555348711085,0.35447647627036355
41,2019_NYH2_plot_42,PHW65_MoG_0163/PHT69,42,1,,1,42,1,0.7004585646268952,0.4418877492752474,0.022039952675185357,0.359914441775907
42,2019_NYH2_plot_43,PHW65_MoG_0423/PHT69,43,1,,1,43,1,0.741720588791766,0.46428218466408017,0.023449959822730317,0.3396850146574693
43,2019_NYH2_plot_44,PHW65_MoG_0021/PHT69,44,1,,1,44,1,0.7424545556322549,0.45601565792012727,0.027498165685233725,0.37230969511725154
44,2019_NYH2_plot_45,PHW65_MoG_0544/PHT69,45,1,,1,45,1,0.6355365926245975,0.397475897368387,0.017743621248459216,0.3602634707226936
45,2019_NYH2_plot_46,PHW65_MoG_0109/PHT69,46,1,,1,46,1,0.7941459451826522,0.4887108488705786,0.028793870952679122,0.3714967569674988
46,2019_NYH2_plot_47,PHW65_MoG_0232/PHT69,47,1,,1,47,1,0.7855613183212631,0.476512951032994,0.02988012847235701,0.361608166062167
47,2019_NYH2_plot_48,PHW65_MoG_0069/PHT69,48,1,,1,48,1,0.6742687916701126,0.405384744779615,0.02266463685293358,0.3504431778736801
48,2019_NYH2_plot_49,PHW65_MoG_0310/PHT69,49,1,,1,49,1,0.7144095959331714,0.43849782532012604,0.022366775189690255,0.32851770151724075
49,2019_NYH2_plot_50,PHW65_MoG_0067/PHT69,50,1,,1,50,1,0.7914951479688079,0.49855274505865815,0.02664672745981301,0.3607871266602644
50,2019_NYH2_plot_51,PHW65_MoG_0160/PHT69,51,1,,1,50,2,0.7881940039042067,0.49799102522153144,0.026443284386066836,0.3612565357622218
51,2019_NYH2_plot_52,PHW65_MoG_0152/PHT69,52,1,,1,49,2,0.7904938557065726,0.4989285531444954,0.02413021750174261,0.3500003094228252
52,2019_NYH2_plot_53,PHW65_MoG_0037/PHT69,53,1,,1,48,2,0.7595385211726787,0.469273694615424,0.023387584718563063,0.3518680981129146
53,2019_NYH2_plot_54,PHW65_MoG_0116/PHT69,54,1,,1,47,2,0.7405089049076148,0.46085683118396986,0.023741178495901273,0.3530954378136071
54,2019_NYH2_plot_55,PHW65_MoG_0341/PHT69,55,1,,1,46,2,0.7822656839397739,0.49383230295532554,0.023839108007131352,0.3460375594302794
55,2019_NYH2_plot_56,PHW65_MoG_0467/PHT69,56,1,,1,45,2,0.8076155145729712,0.5164336712793172,0.025964947457191353,0.3837026435398421
56,2019_NYH2_plot_57,PHW65_MoG_0217/PHT69,57,1,,1,44,2,0.7315777244820403,0.47396825771883366,0.020273021198839045,0.3605366629479669
57,2019_NYH2_plot_58,PHW65_MoG_0461/PHT69,58,1,,1,43,2,0.7490407537745487,0.47558524147540726,0.02100365045552788,0.3372068227904171
58,2019_NYH2_plot_59,PHW65_MoG_0499/PHT69,59,1,,1,42,2,0.759087551469674,0.4857474783446216,0.023250337130232692,0.3568931247936009
59,2019_NYH2_plot_60,PHW65_MoG_0215/PHT69,60,1,,1,41,2,0.808515878735507,0.5134991052054483,0.026039194307970227,0.3523888285983202
60,2019_NYH2_plot_61,MoG/PHT69,61,1,,1,40,2,0.7819128294016944,0.48752412794802596,0.02734571474703559,0.3542979111708954
61,2019_NYH2_plot_62,PHW65_MoG_0223/PHT69,62,1,,1,39,2,0.736158757537962,0.45573503954704997,0.024902215073617315,0.36694576605496587
62,2019_NYH2_plot_63,PHW65_MoG_0241/PHT69,63,1,,1,38,2,0.8043645495956969,0.503005170736702,0.027457768566354037,0.35623197260426565
63,2019_NYH2_plot_64,PHW65_MoG_0001/PHT69,64,1,,1,37,2,0.8029916123910902,0.5248559355455378,0.02313569203540022,0.36985895382455053
64,2019_NYH2_plot_65,PHW65_MoG_0178/PHT69,65,1,,1,36,2,0.810959602367454,0.5113955424376585,0.027559870809488515,0.39109455792760967
65,2019_NYH2_plot_66,PHW65_MoG_0176/PHT69,66,1,,1,35,2,0.7810294553651949,0.49112535956338754,0.025079873282914292,0.3529050583880871
66,2019_NYH2_plot_67,PHW65_MoG_0150/PHT69,67,1,,1,34,2,0.81529999820441,0.5166490474394886,0.025372835191769014,0.35637378348775406
67,2019_NYH2_plot_68,PHW65_MoG_0575/PHT69,68,1,,1,33,2,0.7907991153882722,0.4898878932975078,0.027154480189344264,0.37514614602619517
68,2019_NYH2_plot_69,PHW65_MoG_0064/PHT69,69,1,,1,32,2,0.7195488277656915,0.44988368514708554,0.022326477086114623,0.39559168113921606
69,2019_NYH2_plot_70,PHW65_MoG_0201/PHT69,70,1,,1,31,2,0.7976556327659269,0.5081270649285355,0.02595724475687711,0.3765791092077857
70,2019_NYH2_plot_71,PHW65_MoG_0082/PHT69,71,1,,1,30,2,0.7991708593459477,0.4984208746764422,0.027281340172140355,0.36802739573435317
71,2019_NYH2_plot_72,PHW65_MoG_0145/PHT69,72,1,,1,29,2,0.7555778515288508,0.46233442179232914,0.02570700753908102,0.37283649298066374
72,2019_NYH2_plot_73,PHW65_MoG_0137/PHT69,73,1,,1,28,2,0.7467887255323901,0.45995950499099014,0.023274315711422147,0.3524625274894051
73,2019_NYH2_plot_74,PHW65_MoG_0146/PHT69,74,1,,1,27,2,0.7852935269307563,0.4751061460937056,0.02725407045726505,0.3675034022446094
74,2019_NYH2_plot_75,PHW65_MoG_0068/PHT69,75,1,,1,26,2,0.778841217145625,0.4693970136759263,0.026651416059494695,0.3393615650719014
75,2019_NYH2_plot_76,PHW65_MoG_0388/PHT69,76,1,,1,25,2,0.7949712602454116,0.48463141834359774,0.027996214914967794,0.34153213806108906
76,2019_NYH2_plot_77,PHW65_MoG_0326/PHT69,77,1,,1,24,2,0.7578796772776192,0.4644221697516122,0.023590537962523833,0.3293476297930299
77,2019_NYH2_plot_78,PHW65_MoG_0038/PHT69,78,1,,1,23,2,0.7629452102190545,0.4548109342150196,0.025914175109690393,0.3312625632699354
78,2019_NYH2_plot_79,PHW65_MoG_0583/PHT69,79,1,,1,22,2,0.7818625341279312,0.49313750806609047,0.025912009149914234,0.33935886465451814
79,2019_NYH2_plot_80,PHW65_MoG_0157/PHT69,80,1,,1,21,2,0.6916860875352525,0.4332723440153675,0.02047406618453943,0.3387588228616455
80,2019_NYH2_plot_81,PHW65_MoG_0439/PHT69,81,1,,1,20,2,0.7388058416779043,0.44038462944928924,0.02574788903309868,0.34785268998139524
81,2019_NYH2_plot_82,PHW65_MoG_0352/PHT69,82,1,,1,19,2,0.6688290258863135,0.4224809747156545,0.019903131527766762,0.35962718487676254
