plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number
2019_NYH2_plot_79,PHW65_MoG_0583/PHT69,79,1,,1,22,2
2019_NYH2_plot_80,PHW65_MoG_0157/PHT69,80,1,,1,21,2
2019_NYH2_plot_81,PHW65_MoG_0439/PHT69,81,1,,1,20,2
2019_NYH2_plot_82,PHW65_MoG_0352/PHT69,82,1,,1,19,2
2019_NYH2_plot_83,PHW65_MoG_0350/PHT69,83,1,,1,18,2
2019_NYH2_plot_84,PHW65_MoG_0224/PHT69,84,1,,1,17,2
2019_NYH2_plot_85,PHW65_MoG_0522/PHT69,85,1,,1,16,2
2019_NYH2_plot_86,PHW65_MoG_0651/PHT69,86,1,,1,15,2
2019_NYH2_plot_87,PHW65_MoG_0009/PHT69,87,1,,1,14,2
2019_NYH2_plot_88,PHW65_MoG_0542/PHT69,88,1,,1,13,2
2019_NYH2_plot_89,PHW65_MoG_0199/PHT69,89,1,,1,12,2
2019_NYH2_plot_90,PHW65_MoG_0340/PHT69,90,1,,1,11,2
2019_NYH2_plot_91,PHW65_MoG_0311/PHT69,91,1,,1,10,2
2019_NYH2_plot_92,PHW65_MoG_0063/PHT69,92,1,,1,9,2
2019_NYH2_plot_93,PHW65_MoG_0062/PHT69,93,1,,1,8,2
2019_NYH2_plot_94,PHW65_MoG_0061/PHT69,94,1,,1,7,2
2019_NYH2_plot_95,PHW65_MoG_0118/PHT69,95,1,,1,6,2
2019_NYH2_plot_96,PHW65_MoG_0554/PHT69,96,1,,1,5,2
2019_NYH2_plot_97,PHW65_MoG_0192/PHT69,97,1,,1,4,2
2019_NYH2_plot_98,PHW65_MoG_0629/PHT69,98,1,,1,3,2
2019_NYH2_plot_99,PHW65_MoG_0332/PHT69,99,1,,1,2,2
2019_NYH2_plot_100,PHW65_MoG_0410/PHT69,100,1,,1,1,2
2019_NYH2_plot_101,B37/MO17,101,1,,1,1,3
2019_NYH2_plot_102,PHW65_MoG_0071/PHT69,102,1,,1,2,3
2019_NYH2_plot_103,PHW65_MoG_0029/PHT69,103,1,,1,3,3
2019_NYH2_plot_104,PHW65_MoG_0022/PHT69,104,1,,1,4,3
2019_NYH2_plot_105,PHW65_MoG_0622/PHT69,105,1,,1,5,3
2019_NYH2_plot_106,PHW65_MoG_0194/PHT69,106,1,,1,6,3
2019_NYH2_plot_107,PHG39/PHN82,107,1,,1,7,3
2019_NYH2_plot_108,PHW65_MoG_0384/PHT69,108,1,,1,8,3
2019_NYH2_plot_109,PHW65_MoG_0203/PHT69,109,1,,1,9,3
2019_NYH2_plot_110,PHW65_MoG_0315/PHT69,110,1,,1,10,3
2019_NYH2_plot_111,PHW65_MoG_0262/PHT69,111,1,,1,11,3
2019_NYH2_plot_112,PHW65_MoG_0327/PHT69,112,1,,1,12,3
2019_NYH2_plot_113,PHW65_MoG_0117/PHT69,113,1,,1,13,3
2019_NYH2_plot_114,PHW65_MoG_0426/PHT69,114,1,,1,14,3
2019_NYH2_plot_115,B37/OH43,115,1,,1,15,3
2019_NYH2_plot_116,PHW65_MoG_0213/PHT69,116,1,,1,16,3
2019_NYH2_plot_117,PHW65_MoG_0560/PHT69,117,1,,1,17,3
2019_NYH2_plot_118,PHW65_MoG_0306/PHT69,118,1,,1,18,3
2019_NYH2_plot_119,PHW65_MoG_0012/PHT69,119,1,,1,19,3
2019_NYH2_plot_120,PHW52/PHM49,120,1,,1,20,3
2019_NYH2_plot_121,PHW65_MoG_0392/PHT69,121,1,,1,21,3
2019_NYH2_plot_122,PHW65_MoG_0420/PHT69,122,1,,1,22,3
2019_NYH2_plot_123,PHW65_MoG_0675/PHT69,123,1,,1,23,3
2019_NYH2_plot_124,PHW65_MoG_0354/PHT69,124,1,,1,24,3
2019_NYH2_plot_125,PHW65_MoG_0424/PHT69,125,1,,1,25,3
2019_NYH2_plot_126,PHW65_MoG_0517/PHT69,126,1,,1,26,3
2019_NYH2_plot_127,F42/MO17,127,1,,1,27,3
2019_NYH2_plot_128,PHW65_MoG_0297/PHT69,128,1,,1,28,3
2019_NYH2_plot_129,PHW65_MoG_0329/PHT69,129,1,,1,29,3
2019_NYH2_plot_130,PHW65_MoG_0126/PHT69,130,1,,1,30,3
2019_NYH2_plot_131,PHW65_MoG_0127/PHT69,131,1,,1,31,3
2019_NYH2_plot_132,PHW65_MoG_0343/PHT69,132,1,,1,32,3
2019_NYH2_plot_133,PHW65_MoG_0055/PHT69,133,1,,1,33,3
2019_NYH2_plot_134,PHW65_MoG_0463/PHT69,134,1,,1,34,3
2019_NYH2_plot_135,PHW65_MoG_0183/PHT69,135,1,,1,35,3
2019_NYH2_plot_136,PHW65_MoG_0180/PHT69,136,1,,1,36,3
2019_NYH2_plot_137,PHW65_MoG_0250/PHT69,137,1,,1,37,3
2019_NYH2_plot_138,PHW65_MoG_0129/PHT69,138,1,,1,38,3
2019_NYH2_plot_139,PHW65_MoG_0018/PHT69,139,1,,1,39,3
2019_NYH2_plot_140,PHW65_MoG_0124/PHT69,140,1,,1,40,3
2019_NYH2_plot_141,PHW65_MoG_0139/PHT69,141,1,,1,41,3
2019_NYH2_plot_142,PHW65_MoG_0218/PHT69,142,1,,1,42,3
2019_NYH2_plot_143,PHW65_MoG_0059/PHT69,143,1,,1,43,3
2019_NYH2_plot_144,PHW65_MoG_0195/PHT69,144,1,,1,44,3
2019_NYH2_plot_145,PHW65_MoG_0436/PHT69,145,1,,1,45,3
2019_NYH2_plot_146,PHW65_MoG_0106/PHT69,146,1,,1,46,3
2019_NYH2_plot_147,PHW65_MoG_0172/PHT69,147,1,,1,47,3
2019_NYH2_plot_148,B14A/MO17,148,1,,1,48,3
2019_NYH2_plot_149,PHW65_MoG_0442/PHT69,149,1,,1,49,3
2019_NYH2_plot_150,PHW65_MoG_0036/PHT69,150,1,,1,50,3
2019_NYH2_plot_151,Mo44_PHW65_0027/PHT69,151,1,,1,50,4
2019_NYH2_plot_152,Mo44_PHW65_0128/PHT69,152,1,,1,49,4
2019_NYH2_plot_153,Mo44_PHW65_0230/PHT69,153,1,,1,48,4
2019_NYH2_plot_154,Mo44_PHW65_0034/PHT69,154,1,,1,47,4
2019_NYH2_plot_155,Mo44_PHW65_0225/PHT69,155,1,,1,46,4
2019_NYH2_plot_156,Mo44_PHW65_0159/PHT69,156,1,,1,45,4
2019_NYH2_plot_157,Mo44_PHW65_0139/PHT69,157,1,,1,44,4
2019_NYH2_plot_158,Mo44_PHW65_0223/PHT69,158,1,,1,43,4
2019_NYH2_plot_159,Mo44_PHW65_0145/PHT69,159,1,,1,42,4
2019_NYH2_plot_160,Mo44_PHW65_0333/PHT69,160,1,,1,41,4
2019_NYH2_plot_161,Mo44_PHW65_0396/PHT69,161,1,,1,40,4
2019_NYH2_plot_162,Mo44_PHW65_0033/PHT69,162,1,,1,39,4
2019_NYH2_plot_163,Mo44_PHW65_0080/PHT69,163,1,,1,38,4
2019_NYH2_plot_164,Mo44_PHW65_0339/PHT69,164,1,,1,37,4
2019_NYH2_plot_165,Mo44_PHW65_0218/PHT69,165,1,,1,36,4
2019_NYH2_plot_166,Mo44_PHW65_0174/PHT69,166,1,,1,35,4
2019_NYH2_plot_167,Mo44_PHW65_0263/PHT69,167,1,,1,34,4
2019_NYH2_plot_168,Mo44_PHW65_0317/PHT69,168,1,,1,33,4
2019_NYH2_plot_169,Mo44_PHW65_0063/PHT69,169,1,,1,32,4
2019_NYH2_plot_170,Mo44_PHW65_0011/PHT69,170,1,,1,31,4
2019_NYH2_plot_171,Mo44_PHW65_0177/PHT69,171,1,,1,30,4
2019_NYH2_plot_172,Mo44_PHW65_0180/PHT69,172,1,,1,29,4
2019_NYH2_plot_173,Mo44_PHW65_0147/PHT69,173,1,,1,28,4
2019_NYH2_plot_174,B73/PHN82,174,1,,1,27,4
2019_NYH2_plot_175,Mo44_PHW65_0167/PHT69,175,1,,1,26,4
2019_NYH2_plot_176,Mo44_PHW65_0135/PHT69,176,1,,1,25,4
2019_NYH2_plot_177,Mo44_PHW65_0166/PHT69,177,1,,1,24,4
2019_NYH2_plot_178,PHW52/PHN82,178,1,,1,23,4
2019_NYH2_plot_179,Mo44_PHW65_0134/PHT69,179,1,,1,22,4
2019_NYH2_plot_180,Mo44_PHW65_0319/PHT69,180,1,,1,21,4
2019_NYH2_plot_181,Mo44_PHW65_0036/PHT69,181,1,,1,20,4
2019_NYH2_plot_182,Mo44_PHW65_0092/PHT69,182,1,,1,19,4
2019_NYH2_plot_183,Mo44_PHW65_0254/PHT69,183,1,,1,18,4
2019_NYH2_plot_184,Mo44_PHW65_0350/PHT69,184,1,,1,17,4
2019_NYH2_plot_185,Mo44_PHW65_0433/PHT69,185,1,,1,16,4
2019_NYH2_plot_186,Mo44_PHW65_0259/PHT69,186,1,,1,15,4
2019_NYH2_plot_187,Mo44_PHW65_0023/PHT69,187,1,,1,14,4
2019_NYH2_plot_188,Mo44_PHW65_0252/PHT69,188,1,,1,13,4
2019_NYH2_plot_189,Mo44_PHW65_0179/PHT69,189,1,,1,12,4
2019_NYH2_plot_190,Mo44_PHW65_0475/PHT69,190,1,,1,11,4
2019_NYH2_plot_191,Mo44_PHW65_0037/PHT69,191,1,,1,10,4
2019_NYH2_plot_192,Mo44_PHW65_0175/PHT69,192,1,,1,9,4
2019_NYH2_plot_193,Mo44_PHW65_0017/PHT69,193,1,,1,8,4
2019_NYH2_plot_194,Mo44_PHW65_0025/PHT69,194,1,,1,7,4
2019_NYH2_plot_195,Mo44_PHW65_0067/PHT69,195,1,,1,6,4
2019_NYH2_plot_196,Mo44_PHW65_0392/PHT69,196,1,,1,5,4
2019_NYH2_plot_197,Mo44_PHW65_0150/PHT69,197,1,,1,4,4
2019_NYH2_plot_198,Mo44_PHW65_0155/PHT69,198,1,,1,3,4
2019_NYH2_plot_199,Mo44_PHW65_0160/PHT69,199,1,,1,2,4
2019_NYH2_plot_200,Mo44_PHW65_0363/PHT69,200,1,,1,1,4
2019_NYH2_plot_201,Mo44_PHW65_0271/PHT69,201,1,,1,1,5
2019_NYH2_plot_202,Mo44_PHW65_0140/PHT69,202,1,,1,2,5
2019_NYH2_plot_203,Mo44_PHW65_0288/PHT69,203,1,,1,3,5
2019_NYH2_plot_204,Mo44_PHW65_0281/PHT69,204,1,,1,4,5
2019_NYH2_plot_205,Mo44_PHW65_0237/PHT69,205,1,,1,5,5
2019_NYH2_plot_206,Mo44_PHW65_0328/PHT69,206,1,,1,6,5
2019_NYH2_plot_207,Mo44_PHW65_0316/PHT69,207,1,,1,7,5
2019_NYH2_plot_208,Mo44_PHW65_0376/PHT69,208,1,,1,8,5
2019_NYH2_plot_209,Mo44_PHW65_0176/PHT69,209,1,,1,9,5
2019_NYH2_plot_210,Mo44_PHW65_0268/PHT69,210,1,,1,10,5
2019_NYH2_plot_211,Mo44_PHW65_0214/PHT69,211,1,,1,11,5
2019_NYH2_plot_212,Mo44_PHW65_0144/PHT69,212,1,,1,12,5
2019_NYH2_plot_213,Mo44_PHW65_0390/PHT69,213,1,,1,13,5
2019_NYH2_plot_214,Mo44/PHT69,214,1,,1,14,5
2019_NYH2_plot_215,B73/MO17,215,1,,1,15,5
2019_NYH2_plot_216,Mo44_PHW65_0120/PHT69,216,1,,1,16,5
2019_NYH2_plot_217,Mo44_PHW65_0069/PHT69,217,1,,1,17,5
2019_NYH2_plot_218,Mo44_PHW65_0024/PHT69,218,1,,1,18,5
2019_NYH2_plot_219,Mo44_PHW65_0191/PHT69,219,1,,1,19,5
2019_NYH2_plot_220,Mo44_PHW65_0200/PHT69,220,1,,1,20,5
2019_NYH2_plot_221,Mo44_PHW65_0307/PHT69,221,1,,1,21,5
2019_NYH2_plot_222,Mo44_PHW65_0397/PHT69,222,1,,1,22,5
2019_NYH2_plot_223,Mo44_PHW65_0010/PHT69,223,1,,1,23,5
2019_NYH2_plot_224,Mo44_PHW65_0244/PHT69,224,1,,1,24,5
2019_NYH2_plot_225,Mo44_PHW65_0121/PHT69,225,1,,1,25,5
2019_NYH2_plot_226,Mo44_PHW65_0105/PHT69,226,1,,1,26,5
2019_NYH2_plot_227,Mo44_PHW65_0009/PHT69,227,1,,1,27,5
2019_NYH2_plot_228,Mo44_PHW65_0185/PHT69,228,1,,1,28,5
2019_NYH2_plot_229,Mo44_PHW65_0435/PHT69,229,1,,1,29,5
2019_NYH2_plot_230,Mo44_PHW65_0163/PHT69,230,1,,1,30,5
2019_NYH2_plot_231,Mo44_PHW65_0031/PHT69,231,1,,1,31,5
2019_NYH2_plot_232,Mo44_PHW65_0446/PHT69,232,1,,1,32,5
2019_NYH2_plot_233,Mo44_PHW65_0189/PHT69,233,1,,1,33,5
2019_NYH2_plot_234,Mo44_PHW65_0188/PHT69,234,1,,1,34,5
2019_NYH2_plot_235,Mo44_PHW65_0193/PHT69,235,1,,1,35,5
2019_NYH2_plot_236,Mo44_PHW65_0391/PHT69,236,1,,1,36,5
2019_NYH2_plot_237,Mo44_PHW65_0220/PHT69,237,1,,1,37,5
2019_NYH2_plot_238,Mo44_PHW65_0056/PHT69,238,1,,1,38,5
2019_NYH2_plot_239,Mo44_PHW65_0471/PHT69,239,1,,1,39,5
2019_NYH2_plot_240,Mo44_PHW65_0052/PHT69,240,1,,1,40,5
2019_NYH2_plot_241,Mo44_PHW65_0154/PHT69,241,1,,1,41,5
2019_NYH2_plot_242,Mo44_PHW65_0195/PHT69,242,1,,1,42,5
2019_NYH2_plot_243,Mo44_PHW65_0247/PHT69,243,1,,1,43,5
2019_NYH2_plot_244,Mo44_PHW65_0250/PHT69,244,1,,1,44,5
2019_NYH2_plot_245,Mo44_PHW65_0035/PHT69,245,1,,1,45,5
2019_NYH2_plot_246,Mo44_PHW65_0068/PHT69,246,1,,1,46,5
2019_NYH2_plot_247,Mo44_PHW65_0324/PHT69,247,1,,1,47,5
2019_NYH2_plot_248,Mo44_PHW65_0164/PHT69,248,1,,1,48,5
2019_NYH2_plot_249,Mo44_PHW65_0099/PHT69,249,1,,1,49,5
2019_NYH2_plot_250,Mo44_PHW65_0320/PHT69,250,1,,1,50,5
2019_NYH2_plot_251,Mo44_PHW65_0242/PHT69,251,1,,1,50,6
2019_NYH2_plot_252,Mo44_PHW65_0118/PHT69,252,1,,1,49,6
2019_NYH2_plot_253,PHW65/PHT69,253,1,,1,48,6
2019_NYH2_plot_254,2369/LH123HT,254,1,,1,47,6
2019_NYH2_plot_255,PHN11_PHW65_0333/PHT69,255,1,,1,46,6
2019_NYH2_plot_256,PHN11_PHW65_0225/PHT69,256,1,,1,45,6
2019_NYH2_plot_257,PHN11_PHW65_0285/PHT69,257,1,,1,44,6
