id,area,convex_hull_area,perimeter,width,height,longest_path,solidity
7,1691.0,2375.5,296.83556735515594,51,67,459,0.7118501368133024
10,6447.0,10311.0,769.9381605386734,122,137,891,0.6252545824847251
13,,,,,,
15,4828.0,9292.5,819.7949595451355,125,130,847,0.5195587839655637
14,6027.0,12123.0,1042.965108513832,133,148,1022,0.4971541697599604
2,,,,,,
3,9775.0,15118.0,958.4478269815445,145,154,1087,0.6465802354808837
9,,,,,,
16,,,,,,
1,,,,,,
4,8142.0,13286.0,849.3351291418076,142,148,1016,0.6128255306337498
6,,,,,,
5,8931.0,16449.0,1312.9146209955215,135,167,1117,0.5429509392668247
12,5568.0,8819.5,704.3818116188049,120,119,878,0.6313283065933443
8,,,,,,
